cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,resultado_abrangente,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,lucro_abrangente
17779,2013,2032.0,0.0,2032.0,46.0,9936.0,-2813340.0,-2803404.0,-7904.0,2013.0,690.0,1505614.0,0.0,31.62,1505552.62,-9874.38,93.0,47551.0,-345342.0,40246.0,2805436.0,-2813340.0,61.379999999999995,1507627.0
17892,2013,2206630.0,545964.0,1660666.0,305901.0,758661.0,-3602994.0,-2844333.0,1447969.0,0.0,360595.0,1367884.0,1377354.0,-9719.240000000002,1386750.76,273926.76,-28586.0,296970.0,-148101.0,-137367.0,4504999.0,-4148958.0,-18866.76,1367884.0
17914,2013,7245982.0,116170.0,7129812.0,7151895.0,5848032.0,-322864.0,5525168.0,1397950.0,0.0,5763682.0,516571.0,1041164.0,-253864.74000000002,1009367.26,-1575684.74,-746661.0,403881.0,-318936.0,807162.0,1604644.0,-439034.0,-492796.26,516571.0
17922,2013,48601.0,591.0,48010.0,26268.0,12967.0,-26000.0,-13033.0,35634.0,-947.0,10509.0,255060.0,14077.0,45886.4,165986.4,-61965.6,134960.0,109857.0,-395536.0,276006.0,61043.0,-26591.0,89073.6,254113.0
17973,2013,4079162.0,835629.0,3243533.0,835079.0,1460473.0,30125.0,1430348.0,2618689.0,0.0,479092.0,-14720.0,2015942.0,-8571.400000000001,1918.5999999999985,533209.6,-25210.0,42850.0,-14396.0,-30469.0,1813185.0,-805504.0,-16638.6,-14720.0
18287,2013,129142.0,223398.0,-94256.0,110923.0,55554.0,0.0,55554.0,73588.0,13336.0,42796.0,1397311.0,20910.0,930.9200000000001,1395503.92,2890.92,2738.0,815251.0,-523511.0,-570375.0,-149810.0,-223398.0,1807.08,1410647.0
18350,2013,4073265.0,0.0,4073265.0,763873.0,2289456.0,-813680.0,1475776.0,1783809.0,-28452.0,892752.0,-79320.0,2336933.0,-17484.5,-45379.5,915299.5,-51425.0,828901.0,281338.0,-734998.0,2597489.0,-813680.0,-33940.5,-107772.0
18376,2013,7010706.0,24453.0,6986253.0,1590167.0,2098259.0,-2875221.0,-776962.0,4912447.0,-2633.0,759272.0,78517.0,981168.0,24554.120000000003,30853.120000000003,-15742.879999999997,72218.0,1774164.0,-6745344.0,5414079.0,7763215.0,-2899674.0,47663.88,75884.0
18414,2013,892891.0,35823.0,857068.0,640376.0,744083.0,-4684096.0,-3940013.0,148808.0,0.0,665191.0,27978.0,1538362.0,-9209.58,45855.42,3602.42,-27087.0,572584.0,-307118.0,-101725.0,4797081.0,-4719919.0,-17877.42,27978.0
18465,2013,16378545.0,231059.0,16147486.0,7903941.0,9831659.0,-17136194.0,-7304535.0,6546886.0,0.0,3764492.0,-43551.0,60940246.0,-114785.70000000001,179268.3,1451532.3,-337605.0,-646676.0,-866995.0,992550.0,23452021.0,-17367253.0,-222819.3,-43551.0
18651,2013,1227296.0,0.0,1227296.0,312578.0,432717.0,-1045686.0,-612969.0,794579.0,0.0,252088.0,-47709.0,109191.0,-12820.720000000001,-22821.72,-40450.72,-37708.0,-488622.0,-6353.0,-70621.0,1840265.0,-1045686.0,-24887.28,-47709.0
18660,2013,31042796.0,0.0,31042796.0,7264323.0,22244078.0,0.0,22244078.0,8798718.0,0.0,4905531.0,-162.0,14633856.0,-330290.62,640990.38,1590188.38,-971443.0,15245896.0,-3802025.0,-9385263.0,8798718.0,0.0,-641152.38,-162.0
18678,2013,78405349.0,21834.0,78383515.0,17759808.0,61850058.0,77738.0,61772320.0,16555291.0,62751.0,16534645.0,-111580.0,28422147.0,-1219781.28,2256230.7199999997,2542849.7199999997,-3587592.0,1354603.0,-1687481.0,336071.0,16611195.0,55904.0,-2367810.7199999997,-48829.0
18708,2013,674469.0,4005295.0,-3330826.0,338123.0,158992.0,0.0,158992.0,515477.0,0.0,88479.0,4698.0,232054.0,5132.64,-5265.36,-21178.36,15096.0,-413445.0,278496.0,108574.0,-3489818.0,-4005295.0,9963.36,4698.0
18724,2013,10858768.0,31450.0,10827318.0,1117283.0,1824543.0,-6545778.0,-4721235.0,9034225.0,0.0,33460.0,244089.0,0.0,-22380.84,287534.16,-4263.84,-65826.0,-2654.0,-41736.0,13631.0,15548553.0,-6577228.0,-43445.16,244089.0
18775,2013,23679390.0,16818.0,23662572.0,2313125.0,19052319.0,-6746713.0,12305606.0,4627071.0,0.0,2352136.0,-897088.0,4856925.0,-78926.58,-743877.58,318447.42,-232137.0,417079.0,-955645.0,360068.0,11356966.0,-6763531.0,-153210.41999999998,-897088.0
18821,2013,14033010.0,0.0,14033010.0,1824915.0,10547469.0,-13899557.0,-3352088.0,3485541.0,0.0,3346299.0,1118325.0,6016558.0,-215207.76,1536081.24,1785640.24,-632964.0,92506.0,-11360.0,-65883.0,17385098.0,-13899557.0,-417756.24,1118325.0
18953,2013,13905014.0,0.0,13905014.0,1752108.0,10090987.0,-2397064.0,7693923.0,3814027.0,0.0,1290260.0,444515.0,1882724.0,-191704.24000000002,816646.76,616220.76,-563836.0,-115754.0,642628.0,-458657.0,6211091.0,-2397064.0,-372131.76,444515.0
18961,2013,3580217.0,7870054.0,-4289837.0,817227.0,1252921.0,-337294.0,915627.0,2327296.0,0.0,339204.0,61208.0,1812782.0,-22629.04,105134.95999999999,169346.96,-66556.0,1186028.0,-15222.0,-1588362.0,-5205464.0,-8207348.0,-43926.96,61208.0
18970,2013,16573460.0,0.0,16573460.0,3450472.0,10035119.0,-596367.0,9438752.0,6538341.0,0.0,2865365.0,125420.0,9428650.0,-6519.84,138076.16,1076121.16,-19176.0,42427.0,80597.0,-224529.0,7134708.0,-596367.0,-12656.16,125420.0
19062,2013,5240984.0,1808969.0,3432015.0,813728.0,2942321.0,-2494613.0,447708.0,2298663.0,0.0,325167.0,6330988.0,41865.0,-67363.86,6461753.14,575280.14,-198129.0,-495972.0,-2489215.0,-369773.0,2984307.0,-4303582.0,-130765.14,6330988.0
19100,2013,2638616.0,459568.0,2179048.0,918194.0,2200367.0,-2983155.0,-782788.0,438249.0,489138.0,933277.0,1063465.0,3617962.0,-34238.68,1129928.32,170083.32,-100702.0,30884.0,8277.0,200709.0,2961836.0,-3442723.0,-66463.32,1552603.0
19305,2013,138078.0,0.0,138078.0,94802.0,29142.0,-72164.0,-43022.0,108936.0,-2741.0,10240.0,116297.0,0.0,-864.6200000000001,117975.38,-8380.62,-2543.0,102503.0,-78929.0,-46610.0,181100.0,-72164.0,-1678.3799999999999,113556.0
19313,2013,11381965.0,0.0,11381965.0,2693121.0,7867238.0,20317.0,7846921.0,3514727.0,0.0,2204983.0,-11215.0,9012207.0,5712.68,-22304.32,139481.68,16802.0,-25213.0,-150114.0,177666.0,3535044.0,20317.0,11089.32,-11215.0
19330,2013,4939438.0,0.0,4939438.0,207723.0,2838103.0,-4530311.0,-1692208.0,2101335.0,-76614.0,359283.0,587335.0,843042.0,-51076.50000000001,686483.5,166751.5,-150225.0,-17796.0,-422759.0,463507.0,6631646.0,-4530311.0,-99148.5,510721.0
19348,2013,1027297000.0,0.0,1027297000.0,16576000.0,302801000.0,-15050.0,302785950.0,724496000.0,0.0,371000.0,131582.0,94797000.0,-1476620.0,2997962.0,19388380.0,-4343000.0,23603.0,-109671.0,110406.0,724511050.0,-15050.0,-2866380.0,131582.0
19437,2013,4377143.0,423577.0,3953566.0,799218.0,1564021.0,-5221330.0,-3657309.0,2813122.0,53995.0,124262.0,165237.0,41865.0,-32938.86,229177.14,619609.14,-96879.0,568892.0,-170262.0,-361342.0,7610875.0,-5644907.0,-63940.14,219232.0
19445,2013,9388470.0,0.0,9388470.0,1100038.0,4051111.0,14902.0,4036209.0,5337359.0,0.0,930837.0,29884.0,3733397.0,-54420.4,135523.6,525434.6,-160060.0,700445.0,-284623.0,63509.0,5352261.0,14902.0,-105639.6,29884.0
19453,2013,6500768.0,4673.0,6496095.0,1366878.0,4402739.0,-1399363.0,3003376.0,2098029.0,0.0,1165859.0,-944421.0,2639059.0,-110662.18000000001,-729606.18,614326.82,-325477.0,456347.0,-415694.0,-104977.0,3492719.0,-1404036.0,-214814.82,-944421.0
19550,2013,6248321.0,54.0,6248267.0,3512933.0,5080071.0,12173.0,5067898.0,1168250.0,0.0,2326840.0,4738.0,7010311.0,-53805.00000000001,109183.0,952251.0,-158250.0,247156.0,-510776.0,354590.0,1180369.0,12119.0,-104445.0,4738.0
19569,2013,10638448.0,0.0,10638448.0,3565709.0,9419948.0,-3189920.0,6230028.0,1218500.0,0.0,3446791.0,755623.0,8956212.0,-312533.44,1362305.56,-117907.44,-919216.0,89288.0,-1369824.0,805012.0,4408420.0,-3189920.0,-606682.56,755623.0
19615,2013,2369342.0,0.0,2369342.0,1694062.0,301382.0,-460740.0,-159358.0,2067960.0,0.0,285066.0,0.0,2187264.0,35216.18,-68360.82,365644.18,103577.0,85937.0,-50158.0,-73601.0,2528700.0,-460740.0,68360.82,0.0
19623,2013,4691811.0,9300.0,4682511.0,1438626.0,1983001.0,316459.0,1666542.0,2708810.0,-91531.0,730778.0,51547.0,2487487.0,-29438.56,108692.44,188727.44,-86584.0,-6660.0,-1541.0,-12090.0,3015969.0,307159.0,-57145.44,-39984.0
19658,2013,135299.0,0.0,135299.0,44511.0,96528.0,5390.0,91138.0,38771.0,0.0,40588.0,1520480.0,44202.0,-4987.120000000001,1530160.88,17447.879999999997,-14668.0,135924.0,-170011.0,149142.0,44161.0,5390.0,-9680.88,1520480.0
19739,2013,4578200.0,0.0,4578200.0,1493420.0,3236992.0,373856.0,2863136.0,1341208.0,0.0,976658.0,26246.0,3506235.0,-37591.76,99218.23999999999,457316.24,-110564.0,23063.0,-333744.0,281162.0,1715064.0,373856.0,-72972.23999999999,26246.0
19763,2013,14141494.0,1737.0,14139757.0,4706944.0,7888321.0,-820599.0,7067722.0,6253173.0,68182.0,4598037.0,103620.0,7096492.0,-101680.06000000001,300998.94,751468.94,-299059.0,76443.0,-1134393.0,1503399.0,7072035.0,-822336.0,-197378.94,171802.0
19771,2013,7369011.0,39492.0,7329519.0,1161458.0,5489438.0,-1997687.0,3491751.0,1879573.0,0.0,900491.0,-153257.0,3377473.0,-94440.78000000001,30069.219999999987,649666.22,-277767.0,149682.0,-384934.0,154035.0,3837768.0,-2037179.0,-183326.21999999997,-153257.0
19798,2013,345068.0,2123168.0,-1778100.0,101940.0,204010.0,-3304339.0,-3100329.0,141058.0,0.0,90270.0,15590.0,170518.0,-6546.360000000001,28297.64,-29145.36,-19254.0,-582979.0,-71282.0,711391.0,1322229.0,-5427507.0,-12707.64,15590.0
19836,2013,28598373.0,118796.0,28479577.0,3546641.0,15083003.0,208736.0,14874267.0,13515370.0,0.0,2637257.0,-11745.0,6878214.0,-238105.06000000003,450458.93999999994,985451.94,-700309.0,138139.0,-721395.0,572256.0,13605310.0,89940.0,-462203.93999999994,-11745.0
19879,2013,13002207.0,0.0,13002207.0,3495756.0,9525068.0,47626.0,9477442.0,3477139.0,0.0,3318462.0,-65338.0,7422256.0,-154288.6,234163.4,886836.4,-453790.0,403752.0,7963.0,-430919.0,3524765.0,47626.0,-299501.4,-65338.0
19909,2013,18820850.0,394739.0,18426111.0,943410.0,9353594.0,77578.0,9276016.0,9467256.0,0.0,1397128.0,524385.0,1247432.0,-196270.78000000003,905381.22,1136619.22,-577267.0,-2794.0,-483541.0,415443.0,9150095.0,-317161.0,-380996.22,524385.0
19917,2013,596726.0,253.0,596473.0,393414.0,301101.0,-9153.0,291948.0,295625.0,0.0,252469.0,-1263806.0,1160141.0,2332.4,-1268333.6,35819.4,6860.0,921325.0,-558174.0,277619.0,304525.0,-9406.0,4527.6,-1263806.0
19925,2013,15463222.0,28128.0,15435094.0,1420811.0,7752057.0,-3732328.0,4019729.0,7711165.0,0.0,1170384.0,-491013.0,923670.0,-208761.36000000002,-85770.36000000002,475554.64,-614004.0,1148470.0,-523080.0,-673372.0,11415365.0,-3760456.0,-405242.64,-491013.0
19992,2013,1848780.0,251728.0,1597052.0,941748.0,778942.0,-551936.0,227006.0,1069838.0,0.0,367653.0,193768.0,1611794.0,-903.3800000000001,195521.62,224853.62,-2657.0,-391959.0,-2877891.0,417594.0,1370046.0,-803664.0,-1753.62,193768.0
20010,2013,9103499.0,0.0,9103499.0,3081199.0,6255852.0,-1332819.0,4923033.0,2847647.0,0.0,1688931.0,555669.0,4715036.0,-74493.32,700273.6799999999,223121.68,-219098.0,149865.0,-118298.0,60174.0,4180466.0,-1332819.0,-144604.68,555669.0
20028,2013,1172956.0,0.0,1172956.0,554002.0,629486.0,1838367.0,-1208881.0,543470.0,0.0,191225.0,-543030.0,1174992.0,-4383.280000000001,-534521.28,100235.72,-12892.0,96774.0,-152043.0,80691.0,2381837.0,1838367.0,-8508.72,-543030.0
