cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,accrual
14133,2010,307230000000000.0,3432840000000000.0,-3125610000000000.0,221550000000000.0,191330000000000.0,1900610000000000.0,-1709280000000000.0,115900000000000.0,170660000000000.0,919340000000000.0,501780000000000.0,-2206600000000.0,923623400000000.0,-18636600000000.0,-6490000000000.0,-290000000000.0,-700000000000.0,31080000000000.0,-1416330000000000.0,-1532230000000000.0,-4283400000000.0,923913400000000.0
14206,2010,7.796225e+16,1721770000000000.0,7.624048e+16,895210000000000.0,7.796225e+16,2.320978e+16,5.475247e+16,0.0,6.06221e+16,196170000000000.0,1.42529e+16,-333982000000000.0,844488000000000.0,3270158000000000.0,-982300000000000.0,-1219540000000000.0,-1220760000000000.0,2805570000000000.0,2.148801e+16,2.148801e+16,-648318000000000.0,2064028000000000.0
14311,2010,1.7859432e+17,0.0,1.7859432e+17,4.15779e+16,6.563606e+16,1097400000000000.0,6.453866e+16,1.1295826e+17,2.536801e+16,1544310000000000.0,6.901113e+16,1184645000000000.0,-755295000000000.0,7803205000000000.0,3484250000000000.0,1180000000000.0,90000000000.0,-1280000000000.0,1.1405566e+17,1097400000000000.0,2299605000000000.0,-756475000000000.0
14320,2010,3.1819559e+17,0.0,3.1819559e+17,1.2305384e+17,1.2790122e+17,6081270000000000.0,1.2181995e+17,1.9029437e+17,3.531823e+16,37170000000000.0,1.2962395e+17,44971800000000.0,-50128200000000.0,1.57492018e+16,132270000000000.0,-72870000000000.0,-4007610000000000.0,6019740000000000.0,1.9637564e+17,6081270000000000.0,87298200000000.0,22741800000000.0
14346,2010,4.852128e+16,2.405724e+16,2.446404e+16,2.908287e+16,3.132858e+16,8.230889e+16,-5.098031e+16,1.71927e+16,2.274753e+16,-257680000000000.0,7.384996e+16,1468800000000.0,-260531200000000.0,6369118800000000.0,4320000000000.0,4.461447e+16,-1.562715e+16,-2.016489e+16,7.544435e+16,5.825165e+16,2851200000000.0,-4.48750012e+16
14443,2010,2.3350584e+17,527840000000000.0,2.32978e+17,3.590121e+16,1.3668784e+17,6662020000000000.0,1.3002582e+17,9.6818e+16,3.506114e+16,283170000000000.0,9.231027e+16,-1289983800000000.0,2787256200000000.0,1.88085562e+16,-3794070000000000.0,2.892453e+16,-1.468186e+16,-1.461059e+16,1.0295218e+17,6134180000000000.0,-2504086200000000.0,-2.61372738e+16
14460,2010,1.2042561e+17,2.941631e+16,9.10093e+16,8.189985e+16,7.360624e+16,1347290000000000.0,7.225895e+16,4.681937e+16,3.921657e+16,5336340000000000.0,4.890105e+16,221788800000000.03,4905808800000000.0,6420128800000000.0,652320000000000.0,2.861648e+16,-6.593435e+16,2.726566e+16,1.875035e+16,-2.806902e+16,430531200000000.0,-2.37106712e+16
14540,2010,5.835776e+16,235480000000000.0,5.812228e+16,9984980000000000.0,4.295917e+16,1048650000000000.0,4.191052e+16,1.539859e+16,1.347859e+16,13750000000000.0,3.074336e+16,-470628000000000.06,927322000000000.0,4557062000000000.0,-1384200000000000.0,8.469367e+16,-4.618502e+16,-1.004193e+16,1.621176e+16,813170000000000.0,-913572000000000.0,-8.3766348e+16
14559,2010,1.582486e+16,1050960000000000.0,1.47739e+16,7037570000000000.0,1.323039e+16,5920460000000000.0,7309930000000000.0,2594470000000000.0,6979500000000000.0,837130000000000.0,1.640212e+16,-241270800000000.03,1305479200000000.0,390229200000000.0,-709620000000000.0,2.834013e+16,-1.35463e+16,2162650000000000.0,7463970000000000.0,4869500000000000.0,-468349200000000.0,-2.70346508e+16
14621,2010,8.541244e+16,16960000000000.0,8.539548e+16,1.498838e+16,4.726578e+16,0.0,4.726578e+16,3.814666e+16,1.288303e+16,-6265900000000000.0,5.405669e+16,-646231200000000.0,-5011451200000000.0,4325958800000000.0,-1900680000000000.0,4.532258e+16,-1.658711e+16,-3.593848e+16,3.81297e+16,-16960000000000.0,-1254448800000000.0,-5.03340312e+16
14664,2010,7006550000000000.0,0.0,7006550000000000.0,3559160000000000.0,4561480000000000.0,5077560000000000.0,-516080000000000.0,2445070000000000.0,1846810000000000.0,-64920000000000.0,5954760000000000.0,-38161600000000.0,9158400000000.0,550778400000000.0,-112240000000000.0,-2174740000000000.0,0.0,0.0,7522630000000000.0,5077560000000000.0,-74078400000000.0,2183898400000000.0
14761,2010,8927030000000000.0,57340000000000.0,8869690000000000.0,6047260000000000.0,3644790000000000.0,801510000000000.0,2843280000000000.0,5282240000000000.0,2484530000000000.0,1.9852315e+17,1.013486e+16,34333200000000.004,1.984565032e+17,2053483200000000.0,100980000000000.0,-745370000000000.0,0.0,0.0,6026410000000000.0,744170000000000.0,66646800000000.0,1.992018732e+17
14796,2010,489180000000000.0,85020000000000.0,404160000000000.0,107520000000000.0,92320000000000.0,3510920000000000.0,-3418600000000000.0,396860000000000.0,7700000000000.0,96370000000000.0,0.0,9183400000000.0,78543400000000.0,-4076600000000.0,27010000000000.0,16810000000000.0,198690000000000.0,-246090000000000.0,3822760000000000.0,3425900000000000.0,17826600000000.0,61733400000000.0
14826,2010,2.9932748e+17,4882250000000000.0,2.9444523e+17,1.4716365e+17,2.0348978e+17,5308780000000000.0,1.98181e+17,9.58377e+16,1.0816898e+17,930410000000000.0,3.2091674e+17,-2798203400000000.0,6362216600000000.0,1.23491566e+16,-8230010000000000.0,-2203560000000000.0,354530000000000.0,1838180000000000.0,9.626423e+16,426530000000000.0,-5431806600000000.0,8565776600000000.0
14931,2010,1.47774e+16,0.0,1.47774e+16,6374010000000000.0,5416590000000000.0,5.86866e+16,-5.327001e+16,9360810000000000.0,2528540000000000.0,150020000000000.0,1.447069e+16,15235400000000.002,120445400000000.0,973855400000000.0,44810000000000.0,1975060000000000.0,-3197260000000000.0,2.026138e+16,6.804741e+16,5.86866e+16,29574600000000.0,-1854614600000000.0
15083,2010,1056890000000000.0,6748040000000000.0,-5691150000000000.0,446860000000000.0,5.786307e+16,7.349207e+16,-1.5629e+16,-5.680618e+16,5.117022e+16,4.975591e+16,292930000000000.0,-1769985600000000.2,5.31917644e+16,-2830045600000000.0,-5205840000000000.0,1373420000000000.0,-1434840000000000.0,-2045080000000000.0,9937850000000000.0,6.674403e+16,-3435854400000000.0,5.18183444e+16
15091,2010,4.4687577e+17,295910000000000.0,4.4657986e+17,1.0987971e+17,2.4812202e+17,2.06311e+16,2.2749092e+17,1.9875375e+17,7.578656e+16,1946480000000000.0,1.6003352e+17,-3986452400000000.5,9684887600000000.0,5.79196376e+16,-1.172486e+16,-679990000000000.0,1545850000000000.0,-776820000000000.0,2.1908894e+17,2.033519e+16,-7738407600000000.0,1.03648776e+16
1520,2010,9640560000000000.0,20940000000000.0,9619620000000000.0,4848940000000000.0,4991910000000000.0,900320000000000.0,4091590000000000.0,4648650000000000.0,3602560000000000.0,1641530000000000.0,8283020000000000.0,-43758000000000.0,1726472000000000.0,234962000000000.0,-128700000000000.0,1.0062842e+17,-3.174219e+16,-4.861617e+16,5528030000000000.0,879380000000000.0,-84942000000000.0,-9.8901948e+16
15300,2010,3.384929e+16,291800000000000.0,3.355749e+16,6775590000000000.0,2.612082e+16,2184850000000000.0,2.393597e+16,7728470000000000.0,6045780000000000.0,6129010000000000.0,1.106013e+16,-569438800000000.0,7234391200000000.0,4516321200000000.0,-1674820000000000.0,1.357065e+16,-2.237474e+16,-620670000000000.0,9621520000000000.0,1893050000000000.0,-1105381200000000.0,-6336258800000000.0
15369,2010,2.284869e+16,390000000000.0,2.28483e+16,2242850000000000.0,5735680000000000.0,144110000000000.0,5591570000000000.0,1.711301e+16,2427130000000000.0,1.830914e+16,9707890000000000.0,-5943200000000.0,1.83206768e+16,-105113200000000.0,-17480000000000.0,1011710000000000.0,-70630000000000.0,-317770000000000.0,1.725673e+16,143720000000000.0,-11536800000000.0,1.73089668e+16
15458,2010,5981000000000000.0,0.0,5981000000000000.0,2529090000000000.0,5790630000000000.0,2.977505e+16,-2.398442e+16,190370000000000.0,2271090000000000.0,688340000000000.0,1.09743e+16,-188247800000000.0,1053762200000000.0,418702200000000.0,-553670000000000.0,2.497165e+16,-4.635797e+16,4.656813e+16,2.996542e+16,2.977505e+16,-365422200000000.0,-2.39178878e+16
15539,2010,1.9590086e+17,15220000000000.0,1.9588564e+17,6.359009e+16,8.333598e+16,4918720000000000.0,7.841726e+16,1.1256488e+17,2.919551e+16,6710370000000000.0,8.950036e+16,265312200000000.03,6195352200000000.0,2.01309022e+16,780330000000000.0,-1.481479e+16,-1.595493e+16,2.063312e+16,1.1746838e+17,4903500000000000.0,515017800000000.0,2.10101422e+16
15610,2010,8692320000000000.0,2.499025e+16,-1.629793e+16,2202290000000000.0,7328960000000000.0,2.085447e+16,-1.352551e+16,1363360000000000.0,3239320000000000.0,-350460000000000.0,4988910000000000.0,-238363800000000.03,112246199999999.97,374486200000000.0,-701070000000000.0,6943720000000000.0,-6864500000000000.0,7181740000000000.0,-2772420000000000.0,-4135780000000000.0,-462706200000000.0,-6831473800000000.0
1562,2010,865850000000000.0,0.0,865850000000000.0,688300000000000.0,402710000000000.0,1.422002e+16,-1.381731e+16,463140000000000.0,336070000000000.0,82520000000000.0,948120000000000.0,-1819000000000.0002,86051000000000.0,40701000000000.0,-5350000000000.0,672360000000000.0,-5668610000000000.0,2.409849e+16,1.468316e+16,1.422002e+16,-3531000000000.0,-586309000000000.0
