cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
18821,2020,33448620.0,2077823.0,31370797.0,8128080.0,255088580.0,194092790.0,60995790.0,79397620.0,76242090.0,86113.0,9889480.0,-460188.98,979421.02,979421.02,-1353497.0,753936.0,31770.0,-1935497.0,-60995789.9686292,194092789.99792218,-893308.02
18953,2020,15918500.0,0.0,15918500.0,2632172.0,82645210.0,25708030.0,56937180.0,76539790.0,45108550.0,1644548.0,3264911.0,-130017.02,1896933.98,1896933.98,-382403.0,206469.0,-165725.0,22275.0,-56937179.98408151,25708030.0,-252385.98
18970,2020,10034488.0,0.0,10034488.0,2425331.0,81920300.0,56026000.0,25894300.0,18424580.0,25866780.0,848021.0,2011192.0,-180086.78,1197601.22,1197601.22,-529667.0,51389.0,58213.0,-146728.0,-25894299.989965513,56026000.0,-349580.22
19100,2020,1782151.0,9566035.0,-7783884.0,320917.0,16149750.0,8508700.0,7641050.0,1671760.0,6649280.0,-214692.0,944773.0,-26720.26,-162823.26,-162823.26,-78589.0,340026.0,-1147674.0,805902.0,-7641050.007783885,8508699.990433965,-51868.74
19305,2020,434970.0,0.0,434970.0,200896.0,2434910.0,3085040.0,-650130.0,1914790.0,662720.0,-70767.0,58668.0,-5144.54,-60780.54,-60780.54,-15131.0,179794.0,-540690.0,284531.0,650130.00043497,3085040.0,-9986.46
19330,2020,3366078.0,210000.0,3156078.0,192425.0,24534370.0,35425430.0,-10891060.0,9126410.0,8699440.0,168574.0,969107.0,-4930.34,178144.66,178144.66,-14501.0,2564645.0,-1151032.0,-1240824.0,10891060.003156077,35425429.99979,-9570.66
19348,2020,2019251000.0,1163.0,2019249837.0,46224000.0,5236100000.0,58324100.0,5177775900.0,14956410000.0,0.0,1943.0,173757000.0,3343560.0000000005,-6488497.0,8573560.0,9834000.0,14266759.0,-8098464.0,-5832764.0,-5177775897.98075,58324099.99999884,6490440.0
19445,2020,11772457.0,1176.0,11771281.0,2004368.0,53158450.0,32128090.0,21030360.0,64566120.0,13882310.0,-473578.0,5343338.0,-59525.50000000001,-358028.5,932026.5,-175075.0,693197.0,-238296.0,409729.0,-21030359.98822872,32128089.999998823,-115549.5
19453,2020,11093640.0,0.0,11093640.0,1750088.0,110374590.0,70341950.0,40032640.0,561810.0,25186990.0,-423988.0,3999786.0,-267466.10000000003,95210.89999999997,101210.89999999997,-786665.0,2260821.0,-866076.0,-1501209.0,-40032639.98890636,70341950.0,-519198.9
19550,2020,25448693.0,0.0,25448693.0,10710669.0,186882310.0,16472250.0,170410060.0,67604620.0,92283780.0,-10528499.0,18345397.0,-169946.96000000002,-10198601.96,1432168.04,-499844.0,-2177349.0,-385288.0,2379807.0,-170410059.9745513,16472250.0,-329897.04
19569,2020,12814136.0,428491.0,12385645.0,3245351.0,265811950.0,77228440.0,188583510.0,-137670590.0,103982160.0,-5895251.0,6371817.0,-1654252.66,-2684054.66,-2684054.66,-4865449.0,18855780.0,-6799571.0,-8601995.0,-188583509.9876144,77228439.9995715,-3211196.34
19615,2020,4675706.0,1772.0,4673934.0,3202874.0,4455380.0,554660.0,3900720.0,42301680.0,3510290.0,137863.0,1896785.0,46720.42000000001,47170.42000000001,314513.42,137413.0,-156265.0,-727728.0,419960.0,-3900719.9953260655,554659.999998228,90692.58
19623,2020,13343496.0,102300.0,13241196.0,4210871.0,98069680.0,72191430.0,25878250.0,35365280.0,30131120.0,1164955.0,7039331.0,-131237.28,1419709.72,107015.72,-385992.0,-6512364.0,-943297.0,5241843.0,-25878249.986758806,72191429.99989769,-254754.72
19658,2020,33684.0,0.0,33684.0,4953.0,994970.0,7025670.0,-6030700.0,-658130.0,830640.0,90707.0,12742.0,165.92000000000004,90384.92,1836.92,488.0,259808.0,-88294.0,-151340.0,6030700.000033684,7025670.0,322.08
19739,2020,20441134.0,830996.0,19610138.0,5569622.0,143884750.0,88826860.0,55057890.0,60526590.0,42963880.0,1048180.0,10307615.0,-127300.42,1295292.58,1295292.58,-374413.0,508881.0,1031874.0,-353804.0,-55057889.980389856,88826859.999169,-247112.58
19763,2020,30291259.0,0.0,30291259.0,7469079.0,190349860.0,57408400.0,132941460.0,112562730.0,80590820.0,1713920.0,14983800.0,-153428.40000000002,2011751.6,2011751.6,-451260.0,-8712.0,0.0,-35035.0,-132941459.96970874,57408400.0,-297831.6
19771,2020,16170479.0,0.0,16170479.0,1137716.0,97975260.0,82470930.0,15504330.0,63729530.0,21408390.0,-48189.0,3625619.0,-163969.76,270105.24,270105.24,-482264.0,-67205.0,-108761.0,55902.0,-15504329.98382952,82470930.0,-318294.24
19836,2020,35760824.0,695049.0,35065775.0,11436399.0,242550100.0,132812730.0,109737370.0,115058140.0,64151130.0,31554.0,13508787.0,-429271.08,864844.9199999998,1742104.92,-1262562.0,47313.0,-44138.0,44035.0,-109737369.96493423,132812729.99930495,-833290.9199999998
19879,2020,26397266.0,8882.0,26388384.0,7973724.0,193210540.0,73334140.0,119876400.0,70762120.0,72169570.0,691922.0,13073468.0,-249444.4,1176137.6,1176137.6,-733660.0,517544.0,1388896.0,-1092971.0,-119876399.97361162,73334139.99999112,-484215.6
19909,2020,19165068.0,1521031.0,17644037.0,1850736.0,79194510.0,43681860.0,35512650.0,112456170.0,4616960.0,-336109.0,915097.0,-71033.48000000001,-198220.48,-198220.48,-208922.0,-73805.0,-556734.0,791427.0,-35512649.98235597,43681859.99847897,-137888.52
19925,2020,10654156.0,0.0,10654156.0,1405613.0,33745530.0,50186910.0,-16441380.0,72796030.0,3934240.0,206269.0,313589.0,-12405.580000000002,230350.42,230350.42,-36487.0,-252782.0,-80609.0,183285.0,16441380.010654155,50186910.0,-24081.42
19992,2020,5146406.0,51277.0,5095129.0,2831973.0,25422400.0,1851540.0,23570860.0,26041660.0,20400310.0,144175.0,2596077.0,-3887.56,151721.44,303582.44,-11434.0,48670.0,-108543.0,-33084.0,-23570859.994904872,1851539.9999487232,-7546.44
