cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante
4030,2010,37801214.0,0.0,37801214.0,15793688.0
4057,2010,4474119.0,241337.0,4232782.0,3182125.0
4081,2010,308993.0,98480.0,210513.0,176624.0
4146,2010,401054.0,68348.0,332706.0,214221.0
4170,2010,214662114.0,0.0,214662114.0,54267834.0
4359,2010,632145.0,0.0,632145.0,347115.0
4537,2010,397796383.0,16503.0,397779880.0,203990677.0
4650,2010,1780221.0,20120.0,1760101.0,1274173.0
4669,2010,3169164.0,0.0,3169164.0,1638457.0
4707,2010,4783762.0,127252.0,4656510.0,2591292.0
4723,2010,12415.0,18384.0,-5969.0,7004.0
4774,2010,358147.0,3252.0,354895.0,348830.0
4820,2010,34477491.0,622595.0,33854896.0,8780298.0
4863,2010,21293.0,387058.0,-365765.0,19287.0
5150,2010,272799.0,0.0,272799.0,110979.0
5207,2010,502013.0,0.0,502013.0,220632.0
5312,2010,879892.0,0.0,879892.0,192097.0
5410,2010,7511164.0,0.0,7511164.0,4794009.0
5762,2010,661078.0,116785.0,544293.0,339304.0
5770,2010,1611445.0,0.0,1611445.0,301049.0
5983,2010,30844.0,3381904.0,-3351060.0,10704.0
5991,2010,1518466.0,3115.0,1515351.0,644375.0
6173,2010,999861.0,79794.0,920067.0,653502.0
6211,2010,696233.0,0.0,696233.0,405122.0
6343,2010,2404675.0,71261.0,2333414.0,1071835.0
6505,2010,9891828.0,0.0,9891828.0,7760630.0
6700,2010,556394.0,576541.0,-20147.0,55300.0
6815,2010,135182.0,713383.0,-578201.0,8748.0
701,2010,87417.0,0.0,87417.0,77707.0
7510,2010,1861192.0,0.0,1861192.0,976708.0
7544,2010,222719.0,220159.0,2560.0,65263.0
7595,2010,3406324.0,3108.0,3403216.0,1490526.0
7617,2010,275635000.0,1452424.0,274182576.0,176172000.0
7811,2010,1204674.0,790707.0,413967.0,744035.0
7870,2010,552072.0,487769.0,64303.0,230434.0
80004,2010,288928000.0,31869.0,288896131.0,46873000.0
80020,2010,12341682.0,2156698.0,10184984.0,4757395.0
80047,2010,1564177.0,0.0,1564177.0,505871.0
80080,2010,923111.0,108691.0,814420.0,213810.0
80098,2010,718705.0,22606.0,696099.0,119550.0
80110,2010,3809547.0,0.0,3809547.0,976692.0
80128,2010,11203516.0,46997185.0,-35793669.0,2531096.0
8087,2010,7996619.0,0.0,7996619.0,5851663.0
8133,2010,2456015.0,456491.0,1999524.0,1872921.0
8192,2010,135498.0,10360641.0,-10225143.0,11220.0
8397,2010,856811.0,10484.0,846327.0,490460.0
8427,2010,144246.0,0.0,144246.0,56856.0
8451,2010,3029601.0,0.0,3029601.0,1990509.0
8486,2010,574093.0,14684.0,559409.0,249902.0
8575,2010,2578157.0,557.0,2577600.0,996691.0
8656,2010,43116705.0,75234191.0,-32117486.0,12972141.0
8672,2010,20073689.0,23529.0,20050160.0,5955294.0
8745,2010,129260.0,1172828.0,-1043568.0,47672.0
8753,2010,258518220.0,4245.0,258513975.0,173132872.0
8893,2010,1054543.0,120687.0,933856.0,115085.0
9040,2010,484070.0,321858.0,162212.0,213477.0
906,2010,602954024.0,78683.0,602875341.0,80960127.0
9067,2010,19238178.0,0.0,19238178.0,5524351.0
9342,2010,377105.0,30521.0,346584.0,314471.0
9393,2010,3728920.0,5098.0,3723822.0,2460524.0
94,2010,278076.0,0.0,278076.0,219376.0
9512,2010,519970003.0,78.0,519969925.0,106685162.0
9784,2010,436863.0,319277.0,117586.0,212404.0
9857,2010,90020.0,10578.0,79442.0,68033.0
9954,2010,2971937.0,2197908.0,774029.0,1700250.0
9989,2010,569677.0,94010.0,475667.0,268774.0
